#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/dmi.long.data
#Detail: IOD (DMI from the HadISST)
#Detail: 1-year average beginning 1-July
Year,Value
1870,-0.112
1871,0.044
1872,-0.029
1873,-0.274
1874,-0.158
1875,-0.230
1876,0.008
1877,0.233
1878,-0.170
1879,-0.180
1880,-0.142
1881,-0.038
1882,-0.105
1883,0.025
1884,-0.023
1885,-0.147
1886,-0.293
1887,-0.168
1888,-0.281
1889,-0.258
1890,-0.373
1891,0.052
1892,-0.373
1893,-0.149
1894,0.082
1895,-0.078
1896,0.148
1897,-0.279
1898,-0.246
1899,-0.187
1900,-0.280
1901,-0.243
1902,0.024
1903,-0.167
1904,-0.174
1905,-0.174
1906,-0.364
1907,-0.166
1908,-0.314
1909,-0.320
1910,-0.433
1911,-0.072
1912,-0.151
1913,0.041
1914,-0.085
1915,0.037
1916,-0.234
1917,-0.174
1918,0.135
1919,0.145
1920,-0.095
1921,-0.131
1922,-0.115
1923,0.064
1924,0.062
1925,0.217
1926,0.012
1927,-0.179
1928,-0.197
1929,-0.079
1930,-0.081
1931,-0.231
1932,0.007
1933,-0.254
1934,0.127
1935,0.152
1936,-0.026
1937,0.041
1938,-0.062
1939,-0.029
1940,-0.108
1941,-0.081
1942,-0.224
1943,0.086
1944,0.097
1945,-0.055
1946,0.177
1947,-0.095
1948,0.054
1949,-0.039
1950,0.075
1951,0.238
1952,0.144
1953,-0.004
1954,-0.148
1955,-0.136
1956,-0.266
1957,-0.172
1958,-0.480
1959,-0.310
1960,-0.214
1961,0.547
1962,0.148
1963,0.157
1964,-0.266
1965,-0.012
1966,0.155
1967,0.356
1968,-0.082
1969,0.199
1970,0.055
1971,0.162
1972,0.476
1973,0.084
1974,-0.081
1975,0.067
1976,0.208
1977,-0.031
1978,0.064
1979,0.016
1980,-0.097
1981,0.091
1982,0.220
1983,0.167
1984,-0.204
1985,-0.009
1986,0.103
1987,0.267
1988,-0.069
1989,-0.061
1990,0.212
1991,0.007
1992,-0.102
1993,0.265
1994,0.481
1995,0.066
1996,-0.098
1997,0.755
1998,-0.040
1999,0.241
2000,0.198
2001,0.041
2002,0.227
2003,0.179
2004,0.074
2005,-0.017
2006,0.481
2007,0.311
2008,0.339
2009,0.301
2010,0.205
2011,0.310
2012,0.317
2013,0.163
2014,0.175
2015,0.406
2016,0.183
2017,0.365
