#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/dmi.long.data
#Detail: IOD (DMI from the HadISST)
#Detail: Monthly time step
Year,Month,Value
1870,1,-0.261
1870,2,-0.159
1870,3,0.336
1870,4,0.148
1870,5,-0.266
1870,6,-0.329
1870,7,-0.331
1870,8,-0.212
1870,9,-0.337
1870,10,-0.253
1870,11,-0.138
1870,12,-0.144
1871,1,-0.094
1871,2,0.013
1871,3,-0.042
1871,4,0.052
1871,5,0.097
1871,6,0.045
1871,7,-0.124
1871,8,-0.070
1871,9,0.059
1871,10,-0.147
1871,11,0.053
1871,12,0.000
1872,1,0.146
1872,2,0.214
1872,3,0.091
1872,4,0.114
1872,5,0.067
1872,6,0.119
1872,7,0.024
1872,8,-0.021
1872,9,0.051
1872,10,0.106
1872,11,0.155
1872,12,0.107
1873,1,0.238
1873,2,-0.136
1873,3,-0.227
1873,4,-0.073
1873,5,-0.199
1873,6,-0.370
1873,7,-0.374
1873,8,-0.499
1873,9,-0.301
1873,10,-0.111
1873,11,-0.091
1873,12,-0.078
1874,1,-0.198
1874,2,-0.196
1874,3,-0.413
1874,4,-0.554
1874,5,-0.219
1874,6,-0.251
1874,7,-0.028
1874,8,-0.047
1874,9,-0.417
1874,10,-0.763
1874,11,-0.338
1874,12,-0.555
1875,1,-0.256
1875,2,0.000
1875,3,0.078
1875,4,0.237
1875,5,0.082
1875,6,0.114
1875,7,-0.196
1875,8,0.055
1875,9,-0.001
1875,10,-0.273
1875,11,-0.626
1875,12,-0.229
1876,1,-0.179
1876,2,-0.324
1876,3,-0.241
1876,4,-0.276
1876,5,-0.249
1876,6,-0.216
1876,7,-0.082
1876,8,0.040
1876,9,0.290
1876,10,0.158
1876,11,-0.091
1876,12,-0.067
1877,1,-0.130
1877,2,0.538
1877,3,0.292
1877,4,-0.096
1877,5,-0.468
1877,6,-0.287
1877,7,-0.275
1877,8,0.512
1877,9,0.890
1877,10,0.783
1877,11,0.808
1877,12,0.374
1878,1,-0.079
1878,2,-0.221
1878,3,0.143
1878,4,0.110
1878,5,-0.144
1878,6,-0.103
1878,7,-0.065
1878,8,0.023
1878,9,0.166
1878,10,-0.297
1878,11,-0.192
1878,12,-0.236
1879,1,-0.235
1879,2,-0.227
1879,3,-0.280
1879,4,-0.340
1879,5,-0.290
1879,6,-0.070
1879,7,-0.047
1879,8,-0.332
1879,9,-0.210
1879,10,-0.400
1879,11,-0.489
1879,12,-0.371
1880,1,-0.268
1880,2,-0.073
1880,3,-0.156
1880,4,0.199
1880,5,0.078
1880,6,-0.092
1880,7,-0.211
1880,8,-0.279
1880,9,-0.174
1880,10,-0.369
1880,11,-0.281
1880,12,-0.113
1881,1,0.025
1881,2,-0.319
1881,3,-0.182
1881,4,-0.259
1881,5,0.077
1881,6,0.378
1881,7,0.184
1881,8,0.222
1881,9,0.075
1881,10,-0.074
1881,11,-0.098
1881,12,-0.262
1882,1,-0.369
1882,2,-0.482
1882,3,0.017
1882,4,0.053
1882,5,0.141
1882,6,0.134
1882,7,0.082
1882,8,-0.195
1882,9,-0.261
1882,10,-0.133
1882,11,-0.103
1882,12,-0.191
1883,1,-0.517
1883,2,-0.024
1883,3,-0.136
1883,4,0.079
1883,5,0.018
1883,6,0.122
1883,7,0.033
1883,8,0.174
1883,9,-0.124
1883,10,0.018
1883,11,-0.086
1883,12,-0.093
1884,1,-0.217
1884,2,0.005
1884,3,-0.150
1884,4,0.277
1884,5,0.459
1884,6,0.009
1884,7,0.306
1884,8,-0.008
1884,9,-0.092
1884,10,0.017
1884,11,-0.206
1884,12,-0.185
1885,1,-0.284
1885,2,0.104
1885,3,-0.006
1885,4,-0.007
1885,5,0.008
1885,6,0.081
1885,7,0.096
1885,8,0.077
