#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/nino34.long.data
#Detail: ANINO34 (actual value, not anomaly)
#Detail: 1-year average beginning 1-July
Year,Value
1870,26.400
1871,26.550
1872,26.263
1873,26.271
1874,26.120
1875,26.163
1876,27.356
1877,28.733
1878,26.644
1879,26.260
1880,27.183
1881,26.733
1882,26.571
1883,27.013
1884,27.287
1885,27.173
1886,25.987
1887,27.141
1888,28.107
1889,25.807
1890,26.493
1891,26.793
1892,25.888
1893,25.931
1894,26.475
1895,27.220
1896,27.848
1897,26.625
1898,26.595
1899,27.930
1900,27.381
1901,26.928
1902,28.065
1903,26.481
1904,27.688
1905,27.845
1906,26.544
1907,26.751
1908,26.401
1909,26.008
1910,26.236
1911,27.490
1912,26.902
1913,27.403
1914,27.685
1915,26.868
1916,26.004
1917,26.730
1918,27.861
1919,27.343
1920,26.874
1921,26.769
1922,26.591
1923,27.334
1924,26.400
1925,28.049
1926,26.978
1927,27.049
1928,26.957
1929,27.335
1930,28.147
1931,27.038
1932,26.879
1933,26.248
1934,26.733
1935,27.155
1936,27.058
1937,26.998
1938,26.455
1939,27.572
1940,27.988
1941,27.643
1942,26.122
1943,26.910
1944,26.688
1945,26.574
1946,26.992
1947,26.938
1948,26.889
1949,26.120
1950,26.306
1951,27.441
1952,27.068
1953,27.098
1954,26.094
1955,25.903
1956,26.706
1957,27.885
1958,27.180
1959,26.914
1960,27.010
1961,26.723
1962,26.826
1963,27.388
1964,26.543
1965,28.005
1966,26.804
1967,26.656
1968,27.566
1969,27.413
1970,26.067
1971,26.693
1972,27.973
1973,25.642
1974,26.394
1975,25.992
1976,27.503
1977,27.405
1978,26.918
1979,27.355
1980,26.952
1981,27.122
1982,28.608
1983,26.413
1984,26.221
1985,26.558
1986,27.940
1987,27.594
1988,25.582
1989,26.972
1990,27.328
1991,28.135
1992,27.328
1993,27.213
1994,27.660
1995,26.579
1996,27.050
1997,28.716
1998,25.995
1999,25.930
2000,26.543
2001,27.033
2002,27.681
2003,27.240
2004,27.538
2005,26.712
2006,27.372
2007,25.963
2008,26.733
2009,27.872
2010,25.887
2011,26.474
2012,27.088
2013,27.001
2014,27.699
2015,28.780
2016,26.831
2017,26.612
