#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/nino34.long.data
#Detail: NINO34 (actual value, not anomaly)
#Detail: Monthly time step
Year,Month,Value
1870,1,25.580
1870,2,25.570
1870,3,26.430
1870,4,26.960
1870,5,26.590
1870,6,26.610
1870,7,26.190
1870,8,25.990
1870,9,26.220
1870,10,25.820
1870,11,25.860
1870,12,25.790
1871,1,26.330
1871,2,26.180
1871,3,26.830
1871,4,27.270
1871,5,27.160
1871,6,27.160
1871,7,26.620
1871,8,26.540
1871,9,26.510
1871,10,26.400
1871,11,26.350
1871,12,26.010
1872,1,25.860
1872,2,26.140
1872,3,26.760
1872,4,27.000
1872,5,27.250
1872,6,27.160
1872,7,26.910
1872,8,26.020
1872,9,25.730
1872,10,25.790
1872,11,25.860
1872,12,25.710
1873,1,25.790
1873,2,25.750
1873,3,25.950
1873,4,27.100
1873,5,27.330
1873,6,27.210
1873,7,26.650
1873,8,26.480
1873,9,26.410
1873,10,25.960
1873,11,25.880
1873,12,25.890
1874,1,25.640
1874,2,25.700
1874,3,25.850
1874,4,26.830
1874,5,27.000
1874,6,26.960
1874,7,26.220
1874,8,25.820
1874,9,25.620
1874,10,25.490
1874,11,25.330
1874,12,25.450
1875,1,25.870
1875,2,26.390
1875,3,26.660
1875,4,26.900
1875,5,26.770
1875,6,26.920
1875,7,26.370
1875,8,26.060
1875,9,25.840
1875,10,25.900
1875,11,26.010
1875,12,25.830
1876,1,25.630
1876,2,25.560
1876,3,26.130
1876,4,26.590
1876,5,26.780
1876,6,27.250
1876,7,26.880
1876,8,26.710
1876,9,26.730
1876,10,26.850
1876,11,26.800
1876,12,26.810
1877,1,26.930
1877,2,27.220
1877,3,27.780
1877,4,28.270
1877,5,28.620
1877,6,28.670
1877,7,28.640
1877,8,28.420
1877,9,28.500
1877,10,28.680
1877,11,28.740
1877,12,29.070
1878,1,28.990
1878,2,29.190
1878,3,28.570
1878,4,28.690
1878,5,28.690
1878,6,28.610
1878,7,27.480
1878,8,26.760
1878,9,26.430
1878,10,26.200
1878,11,25.950
1878,12,25.830
1879,1,26.030
1879,2,26.580
1879,3,27.020
1879,4,27.400
1879,5,27.030
1879,6,27.020
1879,7,26.460
1879,8,26.180
1879,9,25.930
1879,10,25.800
1879,11,25.520
1879,12,25.560
1880,1,25.580
1880,2,26.030
1880,3,26.630
1880,4,27.200
1880,5,27.150
1880,6,27.080
1880,7,26.700
1880,8,26.630
1880,9,26.720
1880,10,26.900
1880,11,26.900
1880,12,26.770
1881,1,26.870
1881,2,26.990
1881,3,27.580
1881,4,28.180
1881,5,28.030
1881,6,27.920
1881,7,26.960
1881,8,26.710
1881,9,26.420
1881,10,26.310
1881,11,26.060
1881,12,26.220
1882,1,26.130
1882,2,26.210
1882,3,26.730
1882,4,27.870
1882,5,27.880
1882,6,27.290
1882,7,26.650
1882,8,26.550
1882,9,26.240
1882,10,26.080
1882,11,25.740
1882,12,25.830
1883,1,26.120
1883,2,26.270
1883,3,26.860
1883,4,27.540
1883,5,27.490
1883,6,27.480
1883,7,27.210
1883,8,26.850
1883,9,26.580
1883,10,26.320
1883,11,26.430
1883,12,26.440
1884,1,26.470
1884,2,26.750
1884,3,27.260
1884,4,28.030
1884,5,28.260
1884,6,27.550
1884,7,27.510
1884,8,27.080
1884,9,26.940
1884,10,27.020
1884,11,26.950
1884,12,26.930
1885,1,26.700
1885,2,27.030
1885,3,27.380
1885,4,27.750
1885,5,28.300
1885,6,27.850
1885,7,27.300
1885,8,27.210
1885,9,27.270
1885,10,27.450
1885,11,27.460
1885,12,27.610
1886,1,26.750
1886,2,26.670
1886,3,27.150
1886,4,27.400
1886,5,27.020
1886,6,26.790
1886,7,26.250
1886,8,25.850
1886,9,25.540
1886,10,25.590
1886,11,25.310
1886,12,25.150
1887,1,25.900
1887,2,25.740
1887,3,26.080
1887,4,26.590
1887,5,26.720
1887,6,27.120
1887,7,26.680
1887,8,26.250
1887,9,26.410
1887,10,26.610
1887,11,26.690
1887,12,26.740
1888,1,26.730
1888,2,27.420
1888,3,27.660
1888,4,28.070
1888,5,28.340
1888,6,28.090
1888,7,27.780
1888,8,27.800
1888,9,27.330
1888,10,28.160
1888,11,28.860
1888,12,28.260
1889,1,28.560
1889,2,28.240
1889,3,28.090
1889,4,28.230
1889,5,28.190
1889,6,27.780
1889,7,26.470
1889,8,25.880
1889,9,25.830
1889,10,25.420
1889,11,25.570
1889,12,25.340
1890,1,24.090
1890,2,24.650
1890,3,26.110
1890,4,26.630
1890,5,26.870
1890,6,26.820
1890,7,26.300
1890,8,25.500
1890,9,25.460
1890,10,25.470
1890,11,25.580
1890,12,25.900
1891,1,26.130
1891,2,26.510
1891,3,27.190
1891,4,27.920
1891,5,27.990
1891,6,27.970
1891,7,27.340
1891,8,26.930
1891,9,26.670
1891,10,26.700
1891,11,26.710
1891,12,26.600
1892,1,26.080
1892,2,26.420
1892,3,26.680
1892,4,27.120
1892,5,27.140
1892,6,27.120
1892,7,26.600
1892,8,26.250
1892,9,25.680
1892,10,25.190
1892,11,25.030
1892,12,25.410
1893,1,25.350
1893,2,25.600
1893,3,26.020
1893,4,26.470
1893,5,26.550
1893,6,26.500
1893,7,25.910
1893,8,25.580
1893,9,25.480
1893,10,25.370
1893,11,25.350
1893,12,25.590
1894,1,25.490
1894,2,25.630
1894,3,26.200
1894,4,26.850
1894,5,26.870
1894,6,26.850
1894,7,26.340
1894,8,26.070
1894,9,25.650
1894,10,25.910
1894,11,25.730
1894,12,26.110
1895,1,25.850
1895,2,26.280
1895,3,26.860
1895,4,27.600
1895,5,27.830
1895,6,27.470
1895,7,26.960
1895,8,27.230
1895,9,27.170
1895,10,27.050
1895,11,27.100
1895,12,27.070
1896,1,26.740
1896,2,26.850
1896,3,27.410
1896,4,27.760
1896,5,27.820
1896,6,27.480
1896,7,27.660
1896,8,27.920
1896,9,27.790
1896,10,27.830
1896,11,28.160
1896,12,28.140
1897,1,28.070
1897,2,27.900
1897,3,27.800
1897,4,27.550
1897,5,27.690
1897,6,27.660
1897,7,27.290
1897,8,26.730
1897,9,26.510
1897,10,26.170
1897,11,26.040
1897,12,26.190
1898,1,26.070
1898,2,26.190
1898,3,26.470
1898,4,27.160
1898,5,27.280
1898,6,27.400
1898,7,26.590
1898,8,26.110
1898,9,26.560
1898,10,26.400
1898,11,26.000
1898,12,25.800
1899,1,25.830
1899,2,26.050
1899,3,26.690
1899,4,27.430
1899,5,27.900
1899,6,27.780
1899,7,27.200
1899,8,27.510
1899,9,27.180
1899,10,27.660
1899,11,27.940
1899,12,28.090
1900,1,27.990
1900,2,28.060
1900,3,28.250
1900,4,28.430
1900,5,28.400
1900,6,28.450
1900,7,27.970
1900,8,27.650
1900,9,27.310
1900,10,27.150
1900,11,26.790
1900,12,27.190
1901,1,27.400
1901,2,27.060
1901,3,27.300
1901,4,27.640
1901,5,27.680
1901,6,27.430
1901,7,26.930
1901,8,26.500
1901,9,26.450
1901,10,26.420
1901,11,26.260
1901,12,26.240
1902,1,26.080
1902,2,26.500
1902,3,26.990
1902,4,27.970
1902,5,28.340
1902,6,28.450
1902,7,28.670
1902,8,28.090
1902,9,28.190
1902,10,28.130
1902,11,28.190
1902,12,27.980
1903,1,27.910
1903,2,27.690
1903,3,28.050
1903,4,28.130
1903,5,27.770
1903,6,27.980
1903,7,26.740
1903,8,26.550
1903,9,26.150
1903,10,26.310
1903,11,25.890
1903,12,25.570
1904,1,25.840
1904,2,25.970
1904,3,26.400
1904,4,27.050
1904,5,27.470
1904,6,27.830
1904,7,27.980
1904,8,27.420
1904,9,26.760
1904,10,27.650
1904,11,26.810
1904,12,27.440
1905,1,27.260
1905,2,27.480
1905,3,28.180
1905,4,28.060
1905,5,28.940
1905,6,28.280
1905,7,28.050
1905,8,27.920
1905,9,28.180
1905,10,27.850
1905,11,27.480
1905,12,27.760
1906,1,27.470
1906,2,27.440
1906,3,28.060
1906,4,28.220
1906,5,27.880
1906,6,27.830
1906,7,26.730
1906,8,26.510
1906,9,25.940
1906,10,25.870
1906,11,26.330
1906,12,26.070
1907,1,26.010
1907,2,26.360
1907,3,26.830
1907,4,27.210
1907,5,27.390
1907,6,27.280
1907,7,26.680
1907,8,26.220
1907,9,26.880
1907,10,26.480
1907,11,26.400
1907,12,26.490
1908,1,26.300
1908,2,26.830
1908,3,26.630
1908,4,27.220
1908,5,27.410
1908,6,27.470
1908,7,26.590
1908,8,26.480
1908,9,26.230
1908,10,26.230
1908,11,25.780
1908,12,25.430
1909,1,26.290
1909,2,25.880
1909,3,26.720
1909,4,27.090
1909,5,27.500
1909,6,26.590
1909,7,26.220
1909,8,25.900
1909,9,25.900
1909,10,25.490
1909,11,25.150
1909,12,25.510
1910,1,25.650
1910,2,26.120
1910,3,26.460
1910,4,26.590
1910,5,26.460
1910,6,26.650
1910,7,26.350
1910,8,25.980
1910,9,25.460
1910,10,25.800
1910,11,26.130
1910,12,25.950
1911,1,26.010
1911,2,26.180
1911,3,26.440
1911,4,26.660
1911,5,26.820
1911,6,27.050
1911,7,27.010
1911,8,26.590
1911,9,26.970
1911,10,26.930
1911,11,27.500
1911,12,27.550
1912,1,28.130
1912,2,27.590
1912,3,27.950
1912,4,28.350
1912,5,27.870
1912,6,27.440
1912,7,27.120
1912,8,26.480
1912,9,26.850
1912,10,26.600
1912,11,26.820
1912,12,26.100
1913,1,26.380
1913,2,26.940
1913,3,27.420
1913,4,27.000
1913,5,27.580
1913,6,27.530
1913,7,27.080
1913,8,26.790
1913,9,26.800
1913,10,26.760
1913,11,27.450
1913,12,27.430
1914,1,27.280
1914,2,27.560
1914,3,27.580
1914,4,28.460
1914,5,27.870
1914,6,27.770
1914,7,27.750
1914,8,27.800
1914,9,27.430
1914,10,26.990
1914,11,26.960
1914,12,27.270
1915,1,27.460
1915,2,27.410
1915,3,27.750
1915,4,28.240
1915,5,28.380
1915,6,28.780
1915,7,27.290
1915,8,26.930
1915,9,26.920
1915,10,26.970
1915,11,26.510
1915,12,26.360
1916,1,26.460
1916,2,26.160
1916,3,26.720
1916,4,27.140
1916,5,27.640
1916,6,27.320
1916,7,26.120
1916,8,25.390
1916,9,25.390
1916,10,25.370
1916,11,24.930
1916,12,24.950
1917,1,25.020
1917,2,25.560
1917,3,26.620
1917,4,27.480
1917,5,27.570
1917,6,27.650
1917,7,27.180
1917,8,27.030
1917,9,26.730
1917,10,26.770
1917,11,26.230
1917,12,25.870
1918,1,25.740
1918,2,25.940
1918,3,26.300
1918,4,27.210
1918,5,27.700
1918,6,28.060
1918,7,27.150
1918,8,27.000
1918,9,27.160
1918,10,27.660
1918,11,27.890
1918,12,27.890
1919,1,28.180
1919,2,28.000
1919,3,28.160
1919,4,28.460
1919,5,28.490
1919,6,28.290
1919,7,27.630
1919,8,27.500
1919,9,27.260
1919,10,26.870
1919,11,26.290
1919,12,26.930
1920,1,27.220
1920,2,27.370
1920,3,27.790
1920,4,27.610
1920,5,27.660
1920,6,27.980
1920,7,27.370
1920,8,27.010
1920,9,27.020
1920,10,27.220
1920,11,26.570
1920,12,26.570
1921,1,27.010
1921,2,26.250
1921,3,25.840
1921,4,27.220
1921,5,26.940
1921,6,27.470
1921,7,26.950
1921,8,26.590
1921,9,26.580
1921,10,26.770
1921,11,25.620
1921,12,26.090
1922,1,26.040
1922,2,26.690
1922,3,27.330
1922,4,27.230
1922,5,28.090
1922,6,27.250
1922,7,26.780
1922,8,26.090
1922,9,26.380
1922,10,26.480
1922,11,26.340
1922,12,26.060
1923,1,26.170
1923,2,26.000
1923,3,26.410
1923,4,27.220
1923,5,27.620
1923,6,27.540
1923,7,27.030
1923,8,27.070
1923,9,27.400
1923,10,27.520
1923,11,27.520
1923,12,27.600
