#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/soi.long.data
#Detail: SOI
#Detail: Monthly time step
Year,Month,Value
1866,1,-0.620
1866,2,-0.120
1866,3,-0.620
1866,4,-0.650
1866,5,0.040
1866,6,-0.820
1866,7,-0.340
1866,8,0.360
1866,9,-0.180
1866,10,0.070
1866,11,1.100
1866,12,-0.160
1867,1,0.090
1867,2,-0.010
1867,3,-0.090
1867,4,0.830
1867,5,0.500
1867,6,-0.480
1867,7,0.440
1867,8,0.340
1867,9,0.120
1867,10,-0.560
1867,11,-0.650
1867,12,-0.890
1868,1,-0.160
1868,2,-0.340
1868,3,-1.560
1868,4,0.300
1868,5,-1.340
1868,6,-2.200
1868,7,-0.400
1868,8,-1.410
1868,9,-1.230
1868,10,-1.240
1868,11,-1.490
1868,12,0.520
1869,1,-1.900
1869,2,-0.260
1869,3,-0.590
1869,4,2.120
1869,5,1.400
1869,6,1.530
1869,7,1.420
1869,8,0.940
1869,9,0.120
1869,10,0.850
1869,11,0.560
1869,12,0.420
1870,1,1.060
1870,2,0.180
1870,3,-0.750
1870,4,0.470
1870,5,-0.110
1870,6,-1.100
1870,7,0.170
1870,8,0.980
1870,9,0.000
1870,10,-0.580
1870,11,-0.860
1870,12,-1.290
1871,1,-1.130
1871,2,-0.130
1871,3,-2.000
1871,4,-0.460
1871,5,-0.470
1871,6,0.240
1871,7,0.310
1871,8,0.380
1871,9,0.580
1871,10,-0.140
1871,11,-0.020
1871,12,0.970
1872,1,2.690
1872,2,1.120
1872,3,1.690
1872,4,-0.540
1872,5,1.350
1872,6,2.450
1872,7,2.300
1872,8,0.990
1872,9,3.140
1872,10,1.900
1872,11,3.090
1872,12,2.800
1873,1,2.470
1873,2,1.120
1873,3,1.630
1873,4,2.290
1873,5,1.190
1873,6,-3.090
1873,7,-1.140
1873,8,-0.590
1873,9,-2.130
1873,10,-1.780
1873,11,-0.360
1873,12,1.330
1874,1,0.900
1874,2,-0.280
1874,3,-0.520
1874,4,0.980
1874,5,1.290
1874,6,-1.920
1874,7,-0.140
1874,8,0.750
1874,9,2.030
1874,10,2.190
1874,11,0.530
1874,12,1.280
1875,1,0.650
1875,2,-0.110
1875,3,-1.000
1875,4,1.400
1875,5,0.750
1875,6,2.570
1875,7,-0.490
1875,8,-0.210
1875,9,0.830
1875,10,0.930
1875,11,-1.540
1875,12,-0.540
1876,1,1.160
1876,2,0.980
1876,3,-0.100
1876,4,0.940
1876,5,0.750
1876,6,1.980
1876,7,-0.510
1876,8,1.080
1876,9,0.980
1876,10,-1.000
1876,11,-0.460
1876,12,-0.450
1877,1,-0.880
1877,2,-1.440
1877,3,-1.070
1877,4,-3.870
1877,5,-1.710
1877,6,-4.340
1877,7,-0.960
1877,8,-1.060
1877,9,-1.710
1877,10,-1.700
1877,11,-1.310
1877,12,-1.520
1878,1,-0.980
1878,2,-2.220
1878,3,-1.860
1878,4,-1.070
1878,5,0.100
1878,6,-0.590
1878,7,1.600
1878,8,1.120
1878,9,1.700
1878,10,0.940
1878,11,1.390
1878,12,1.890
1879,1,1.280
1879,2,1.330
1879,3,1.300
1879,4,1.590
1879,5,0.100
1879,6,1.850
1879,7,2.190
1879,8,2.200
1879,9,1.800
1879,10,1.530
1879,11,0.760
1879,12,-0.710
1880,1,1.140
1880,2,0.700
1880,3,1.430
1880,4,0.790
1880,5,1.220
1880,6,0.970
1880,7,0.210
1880,8,1.260
1880,9,0.730
1880,10,0.560
1880,11,0.740
1880,12,-0.330
1881,1,-0.840
1881,2,-0.670
1881,3,0.020
1881,4,0.430
1881,5,-0.560
1881,6,-0.780
1881,7,-0.510
1881,8,-1.390
1881,9,-1.350
1881,10,-2.600
1881,11,0.490
1881,12,0.700
1882,1,-0.760
1882,2,-0.260
1882,3,0.410
1882,4,-0.060
1882,5,0.350
1882,6,-1.750
1882,7,-2.130
1882,8,-2.740
1882,9,-1.440
1882,10,-0.090
1882,11,0.210
1882,12,1.040
1883,1,0.480
1883,2,-0.950
1883,3,-2.940
1883,4,1.630
1883,5,1.470
1883,6,0.260
1883,7,-1.010
1883,8,0.060
1883,9,-0.810
1883,10,0.360
1883,11,0.190
1883,12,-1.770
1884,1,-1.400
1884,2,-0.610
1884,3,0.880
1884,4,-1.600
1884,5,0.180
1884,6,0.980
1884,7,-0.280
1884,8,-0.630
1884,9,-0.700
1884,10,0.380
1884,11,-0.260
1884,12,-1.500
1885,1,-1.780
1885,2,0.040
1885,3,0.390
1885,4,0.160
1885,5,0.010
1885,6,-1.910
1885,7,-0.450
1885,8,-1.130
1885,9,-0.430
1885,10,-1.920
1885,11,-1.550
1885,12,0.470
1886,1,-0.220
1886,2,0.000
1886,3,0.150
1886,4,0.490
1886,5,0.540
1886,6,0.430
1886,7,0.740
1886,8,1.330
1886,9,1.280
1886,10,1.300
1886,11,0.880
1886,12,1.510
1887,1,1.200
1887,2,0.950
1887,3,0.950
1887,4,1.000
1887,5,-0.580
