index,year,queensland
IOD_NOAA__Avg_1Yr,1870,-0.112
IOD_NOAA__Avg_1Yr,1871,0.044
IOD_NOAA__Avg_1Yr,1872,-0.029
IOD_NOAA__Avg_1Yr,1873,-0.274
IOD_NOAA__Avg_1Yr,1874,-0.158
IOD_NOAA__Avg_1Yr,1875,-0.23
IOD_NOAA__Avg_1Yr,1876,0.008
IOD_NOAA__Avg_1Yr,1877,0.233
IOD_NOAA__Avg_1Yr,1878,-0.17
IOD_NOAA__Avg_1Yr,1879,-0.18
IOD_NOAA__Avg_1Yr,1880,-0.142
IOD_NOAA__Avg_1Yr,1881,-0.038
IOD_NOAA__Avg_1Yr,1882,-0.105
IOD_NOAA__Avg_1Yr,1883,0.025
IOD_NOAA__Avg_1Yr,1884,-0.023
IOD_NOAA__Avg_1Yr,1885,-0.147
IOD_NOAA__Avg_1Yr,1886,-0.293
IOD_NOAA__Avg_1Yr,1887,-0.168
IOD_NOAA__Avg_1Yr,1888,-0.281
IOD_NOAA__Avg_1Yr,1889,-0.258
IOD_NOAA__Avg_1Yr,1890,-0.373
IOD_NOAA__Avg_1Yr,1891,0.052
IOD_NOAA__Avg_1Yr,1892,-0.373
IOD_NOAA__Avg_1Yr,1893,-0.149
IOD_NOAA__Avg_1Yr,1894,0.082
IOD_NOAA__Avg_1Yr,1895,-0.078
IOD_NOAA__Avg_1Yr,1896,0.148
IOD_NOAA__Avg_1Yr,1897,-0.279
IOD_NOAA__Avg_1Yr,1898,-0.246
IOD_NOAA__Avg_1Yr,1899,-0.187
IOD_NOAA__Avg_1Yr,1900,-0.28
IOD_NOAA__Avg_1Yr,1901,-0.243
IOD_NOAA__Avg_1Yr,1902,0.024
IOD_NOAA__Avg_1Yr,1903,-0.167
IOD_NOAA__Avg_1Yr,1904,-0.174
IOD_NOAA__Avg_1Yr,1905,-0.174
IOD_NOAA__Avg_1Yr,1906,-0.364
IOD_NOAA__Avg_1Yr,1907,-0.166
IOD_NOAA__Avg_1Yr,1908,-0.314
IOD_NOAA__Avg_1Yr,1909,-0.32
IOD_NOAA__Avg_1Yr,1910,-0.433
IOD_NOAA__Avg_1Yr,1911,-0.072
IOD_NOAA__Avg_1Yr,1912,-0.151
IOD_NOAA__Avg_1Yr,1913,0.041
IOD_NOAA__Avg_1Yr,1914,-0.085
IOD_NOAA__Avg_1Yr,1915,0.037
IOD_NOAA__Avg_1Yr,1916,-0.234
IOD_NOAA__Avg_1Yr,1917,-0.174
IOD_NOAA__Avg_1Yr,1918,0.135
IOD_NOAA__Avg_1Yr,1919,0.145
IOD_NOAA__Avg_1Yr,1920,-0.095
IOD_NOAA__Avg_1Yr,1921,-0.131
IOD_NOAA__Avg_1Yr,1922,-0.115
IOD_NOAA__Avg_1Yr,1923,0.064
IOD_NOAA__Avg_1Yr,1924,0.062
IOD_NOAA__Avg_1Yr,1925,0.217
IOD_NOAA__Avg_1Yr,1926,0.012
IOD_NOAA__Avg_1Yr,1927,-0.179
IOD_NOAA__Avg_1Yr,1928,-0.197
IOD_NOAA__Avg_1Yr,1929,-0.079
IOD_NOAA__Avg_1Yr,1930,-0.081
IOD_NOAA__Avg_1Yr,1931,-0.231
IOD_NOAA__Avg_1Yr,1932,0.007
IOD_NOAA__Avg_1Yr,1933,-0.254
IOD_NOAA__Avg_1Yr,1934,0.127
IOD_NOAA__Avg_1Yr,1935,0.152
IOD_NOAA__Avg_1Yr,1936,-0.026
IOD_NOAA__Avg_1Yr,1937,0.041
IOD_NOAA__Avg_1Yr,1938,-0.062
IOD_NOAA__Avg_1Yr,1939,-0.029
IOD_NOAA__Avg_1Yr,1940,-0.108
IOD_NOAA__Avg_1Yr,1941,-0.081
IOD_NOAA__Avg_1Yr,1942,-0.224
IOD_NOAA__Avg_1Yr,1943,0.086
IOD_NOAA__Avg_1Yr,1944,0.097
IOD_NOAA__Avg_1Yr,1945,-0.055
IOD_NOAA__Avg_1Yr,1946,0.177
IOD_NOAA__Avg_1Yr,1947,-0.095
IOD_NOAA__Avg_1Yr,1948,0.054
IOD_NOAA__Avg_1Yr,1949,-0.039
IOD_NOAA__Avg_1Yr,1950,0.075
IOD_NOAA__Avg_1Yr,1951,0.238
IOD_NOAA__Avg_1Yr,1952,0.144
IOD_NOAA__Avg_1Yr,1953,-0.004
IOD_NOAA__Avg_1Yr,1954,-0.148
IOD_NOAA__Avg_1Yr,1955,-0.136
IOD_NOAA__Avg_1Yr,1956,-0.266
IOD_NOAA__Avg_1Yr,1957,-0.172
IOD_NOAA__Avg_1Yr,1958,-0.48
IOD_NOAA__Avg_1Yr,1959,-0.31
IOD_NOAA__Avg_1Yr,1960,-0.214
IOD_NOAA__Avg_1Yr,1961,0.547
IOD_NOAA__Avg_1Yr,1962,0.148
IOD_NOAA__Avg_1Yr,1963,0.157
IOD_NOAA__Avg_1Yr,1964,-0.266
IOD_NOAA__Avg_1Yr,1965,-0.012
IOD_NOAA__Avg_1Yr,1966,0.155
IOD_NOAA__Avg_1Yr,1967,0.356
IOD_NOAA__Avg_1Yr,1968,-0.082
IOD_NOAA__Avg_1Yr,1969,0.199
IOD_NOAA__Avg_1Yr,1970,0.055
IOD_NOAA__Avg_1Yr,1971,0.162
IOD_NOAA__Avg_1Yr,1972,0.476
IOD_NOAA__Avg_1Yr,1973,0.084
IOD_NOAA__Avg_1Yr,1974,-0.081
IOD_NOAA__Avg_1Yr,1975,0.067
IOD_NOAA__Avg_1Yr,1976,0.208
IOD_NOAA__Avg_1Yr,1977,-0.031
IOD_NOAA__Avg_1Yr,1978,0.064
IOD_NOAA__Avg_1Yr,1979,0.016
IOD_NOAA__Avg_1Yr,1980,-0.097
IOD_NOAA__Avg_1Yr,1981,0.091
IOD_NOAA__Avg_1Yr,1982,0.22
IOD_NOAA__Avg_1Yr,1983,0.167
IOD_NOAA__Avg_1Yr,1984,-0.204
IOD_NOAA__Avg_1Yr,1985,-0.009
IOD_NOAA__Avg_1Yr,1986,0.103
IOD_NOAA__Avg_1Yr,1987,0.267
IOD_NOAA__Avg_1Yr,1988,-0.069
IOD_NOAA__Avg_1Yr,1989,-0.061
IOD_NOAA__Avg_1Yr,1990,0.212
IOD_NOAA__Avg_1Yr,1991,0.007
IOD_NOAA__Avg_1Yr,1992,-0.102
IOD_NOAA__Avg_1Yr,1993,0.265
IOD_NOAA__Avg_1Yr,1994,0.481
IOD_NOAA__Avg_1Yr,1995,0.066
IOD_NOAA__Avg_1Yr,1996,-0.098
IOD_NOAA__Avg_1Yr,1997,0.755
IOD_NOAA__Avg_1Yr,1998,-0.04
IOD_NOAA__Avg_1Yr,1999,0.241
IOD_NOAA__Avg_1Yr,2000,0.198
IOD_NOAA__Avg_1Yr,2001,0.041
IOD_NOAA__Avg_1Yr,2002,0.227
IOD_NOAA__Avg_1Yr,2003,0.179
IOD_NOAA__Avg_1Yr,2004,0.074
IOD_NOAA__Avg_1Yr,2005,-0.017
IOD_NOAA__Avg_1Yr,2006,0.481
IOD_NOAA__Avg_1Yr,2007,0.311
IOD_NOAA__Avg_1Yr,2008,0.339
IOD_NOAA__Avg_1Yr,2009,0.301
IOD_NOAA__Avg_1Yr,2010,0.205
IOD_NOAA__Avg_1Yr,2011,0.31
IOD_NOAA__Avg_1Yr,2012,0.317
IOD_NOAA__Avg_1Yr,2013,0.163
IOD_NOAA__Avg_1Yr,2014,0.175
IOD_NOAA__Avg_1Yr,2015,0.406
IOD_NOAA__Avg_1Yr,2016,0.183
IOD_NOAA__Avg_1Yr,2017,0.365
IPO_NOAA__Avg_1Yr,1854,-0.401
IPO_NOAA__Avg_1Yr,1855,0.235
IPO_NOAA__Avg_1Yr,1856,-0.74
IPO_NOAA__Avg_1Yr,1857,0.148
IPO_NOAA__Avg_1Yr,1858,-0.084
IPO_NOAA__Avg_1Yr,1859,-0.466
IPO_NOAA__Avg_1Yr,1860,-0.557
IPO_NOAA__Avg_1Yr,1861,-0.753
IPO_NOAA__Avg_1Yr,1862,-0.557
IPO_NOAA__Avg_1Yr,1863,-0.321
IPO_NOAA__Avg_1Yr,1864,-0.231
IPO_NOAA__Avg_1Yr,1865,-0.594
IPO_NOAA__Avg_1Yr,1866,-0.413
IPO_NOAA__Avg_1Yr,1867,-0.297
IPO_NOAA__Avg_1Yr,1868,-0.224
IPO_NOAA__Avg_1Yr,1869,-0.984
IPO_NOAA__Avg_1Yr,1870,-0.679
IPO_NOAA__Avg_1Yr,1871,-0.451
IPO_NOAA__Avg_1Yr,1872,-1.087
IPO_NOAA__Avg_1Yr,1873,-0.882
IPO_NOAA__Avg_1Yr,1874,-0.884
IPO_NOAA__Avg_1Yr,1875,-1.099
IPO_NOAA__Avg_1Yr,1876,-0.062
IPO_NOAA__Avg_1Yr,1877,1.318
IPO_NOAA__Avg_1Yr,1878,-0.495
IPO_NOAA__Avg_1Yr,1879,-0.91
IPO_NOAA__Avg_1Yr,1880,0.244
IPO_NOAA__Avg_1Yr,1881,-0.222
IPO_NOAA__Avg_1Yr,1882,-0.337
IPO_NOAA__Avg_1Yr,1883,-0.222
IPO_NOAA__Avg_1Yr,1884,0.733
IPO_NOAA__Avg_1Yr,1885,0.344
IPO_NOAA__Avg_1Yr,1886,-0.982
IPO_NOAA__Avg_1Yr,1887,0.422
IPO_NOAA__Avg_1Yr,1888,1.024
IPO_NOAA__Avg_1Yr,1889,-0.887
IPO_NOAA__Avg_1Yr,1890,-0.368
IPO_NOAA__Avg_1Yr,1891,-0.369
IPO_NOAA__Avg_1Yr,1892,-1.369
IPO_NOAA__Avg_1Yr,1893,-1.122
IPO_NOAA__Avg_1Yr,1894,-0.842
IPO_NOAA__Avg_1Yr,1895,0.02
IPO_NOAA__Avg_1Yr,1896,0.7
IPO_NOAA__Avg_1Yr,1897,-0.268
IPO_NOAA__Avg_1Yr,1898,-0.401
IPO_NOAA__Avg_1Yr,1899,1.014
IPO_NOAA__Avg_1Yr,1900,0.284
IPO_NOAA__Avg_1Yr,1901,0.318
IPO_NOAA__Avg_1Yr,1902,1.225
IPO_NOAA__Avg_1Yr,1903,-0.32
IPO_NOAA__Avg_1Yr,1904,1.191
IPO_NOAA__Avg_1Yr,1905,0.933
IPO_NOAA__Avg_1Yr,1906,-0.292
IPO_NOAA__Avg_1Yr,1907,0.243
IPO_NOAA__Avg_1Yr,1908,-0.284
IPO_NOAA__Avg_1Yr,1909,-1.181
IPO_NOAA__Avg_1Yr,1910,-0.587
IPO_NOAA__Avg_1Yr,1911,0.513
IPO_NOAA__Avg_1Yr,1912,0.111
IPO_NOAA__Avg_1Yr,1913,0.629
IPO_NOAA__Avg_1Yr,1914,0.921
IPO_NOAA__Avg_1Yr,1915,-0.573
IPO_NOAA__Avg_1Yr,1916,-1.737
IPO_NOAA__Avg_1Yr,1917,-0.964
IPO_NOAA__Avg_1Yr,1918,0.707
IPO_NOAA__Avg_1Yr,1919,0.211
IPO_NOAA__Avg_1Yr,1920,-0.449
IPO_NOAA__Avg_1Yr,1921,-0.213
IPO_NOAA__Avg_1Yr,1922,-0.487
IPO_NOAA__Avg_1Yr,1923,-0.063
IPO_NOAA__Avg_1Yr,1924,-0.89
IPO_NOAA__Avg_1Yr,1925,0.838
IPO_NOAA__Avg_1Yr,1926,-0.063
IPO_NOAA__Avg_1Yr,1927,0.139
IPO_NOAA__Avg_1Yr,1928,-0.131
IPO_NOAA__Avg_1Yr,1929,0.337
IPO_NOAA__Avg_1Yr,1930,1.171
IPO_NOAA__Avg_1Yr,1931,0.114
IPO_NOAA__Avg_1Yr,1932,-0.18
IPO_NOAA__Avg_1Yr,1933,-0.595
IPO_NOAA__Avg_1Yr,1934,-0.146
IPO_NOAA__Avg_1Yr,1935,0.224
IPO_NOAA__Avg_1Yr,1936,0.078
IPO_NOAA__Avg_1Yr,1937,-0.487
IPO_NOAA__Avg_1Yr,1938,-0.586
IPO_NOAA__Avg_1Yr,1939,0.795
IPO_NOAA__Avg_1Yr,1940,1.348
IPO_NOAA__Avg_1Yr,1941,0.767
IPO_NOAA__Avg_1Yr,1942,-1.044
IPO_NOAA__Avg_1Yr,1943,-0.547
IPO_NOAA__Avg_1Yr,1944,-0.449
IPO_NOAA__Avg_1Yr,1945,-0.341
IPO_NOAA__Avg_1Yr,1946,0.018
IPO_NOAA__Avg_1Yr,1947,-0.169
IPO_NOAA__Avg_1Yr,1948,-0.578
IPO_NOAA__Avg_1Yr,1949,-1.2
IPO_NOAA__Avg_1Yr,1950,-0.894
IPO_NOAA__Avg_1Yr,1951,0.105
