climate_index,DatasetID,catchment,lag_match
IOD_NOAA__Avg_1Yr,Dataset_197,queensland,-1
IOD_NOAA__Avg_1Yr,Dataset_213,queensland,-5
IOD_NOAA__Avg_1Yr,Dataset_244,queensland,-4
IOD_NOAA__Avg_1Yr,Dataset_246,queensland,-1
IOD_NOAA__Avg_1Yr,Dataset_266,queensland,1
IOD_NOAA__Avg_1Yr,Dataset_237,queensland,3
IOD_NOAA__Avg_1Yr,Dataset_265,queensland,1
IOD_NOAA__Avg_1Yr,Dataset_268,queensland,0
IOD_NOAA__Avg_1Yr,Dataset_156,queensland,2
IOD_NOAA__Avg_1Yr,Dataset_554,queensland,3
IPO_NOAA__Avg_1Yr,Dataset_246,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_245,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_244,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_214,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_213,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_197,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_228,queensland,0
IPO_NOAA__Avg_1Yr,Dataset_235,queensland,0
IPO_NOAA__Avg_1Yr,Dataset_154,queensland,-1
IPO_NOAA__Avg_1Yr,Dataset_153,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_246,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_245,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_244,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_214,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_229,queensland,0
SOI_NOAA__Avg_1Yr,Dataset_213,queensland,-1
SOI_NOAA__Avg_1Yr,Dataset_197,queensland,5
SOI_NOAA__Avg_1Yr,Dataset_268,queensland,0
SOI_NOAA__Avg_1Yr,Dataset_226,queensland,0
SOI_NOAA__Avg_1Yr,Dataset_228,queensland,0
NINO34_NOAA__Avg_1Yr,Dataset_246,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_245,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_244,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_197,queensland,5
NINO34_NOAA__Avg_1Yr,Dataset_229,queensland,0
NINO34_NOAA__Avg_1Yr,Dataset_214,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_153,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_154,queensland,-1
NINO34_NOAA__Avg_1Yr,Dataset_235,queensland,0
NINO34_NOAA__Avg_1Yr,Dataset_228,queensland,0
