catchment,lat,long
"Barron, Queensland",-16.8655567,145.7099915
"Brisbane, Queensland",-27.4689682,153.0234991
"Daintree, Queensland",-16.257322,145.3320899
"Fitzroy, Queensland",-16.9328988,145.9951703
"Fraser Island, Queensland",-25.24672,153.1468044
"Herbert, Queensland",-18.2484306,145.6112083
"Johnstone, Queensland",-17.5312715,145.842806
"Logan Albert, Queensland",-27.8945843,152.9815772
"Maroochy, Queensland",-26.5985811,153.0552151
"Mary, Queensland",-26.1242027,152.5715907
"Moreton Bay, Queensland",-27.2397819,153.2539994
"Mossman, Queensland",-16.4614455,145.3726649
"Russell, Queensland",-26.6603622,152.9643318
"Murray, Queensland",-19.3342854,146.7968597
"Noosa, Queensland",-26.3182505,152.9307786
"South Coast, Queensland",-27.9802365,153.309604
"Tully, Queensland",-17.9329498,145.9272624
