climate_index,DatasetID,ccf,catchment,Proxy_Timespan,StartYear,EndYear,maxcorr,lag_match
avg_temp__1yr_wy7,Dataset_578,0.44904835,barron,1381.8,627.5,2009.3,0.44904835,5
avg_temp__1yr_wy7,Dataset_392.3,0.365513944,barron,587.32,1423.23,2010.55,0.365513944,5
avg_temp__1yr_wy7,Dataset_579,0.362821912,barron,1381.8,627.5,2009.3,0.362821912,5
avg_temp__1yr_wy7,Dataset_216,0.362543046,barron,365,1625,1990,0.362543046,-3
et_morton_potential__1yr_wy7,Dataset_465,0.574300729,barron,1278.3,718.1,1996.4,0.574300729,-4
et_morton_potential__1yr_wy7,Dataset_464,0.564093757,barron,1278.3,718.1,1996.4,0.564093757,-4
et_morton_potential__1yr_wy7,Dataset_437,0.563501634,barron,861,1144,2005,0.563501634,1
et_morton_potential__1yr_wy7,Dataset_240,0.550964079,barron,374,1607,1981,0.550964079,2
et_morton_potential__1yr_wy7,Dataset_454,0.507872188,barron,1117.9,881.2,1999.1,0.507872188,-5
et_morton_potential__1yr_wy7,Dataset_375,0.506350981,barron,275.1,1711.5,1986.6,0.506350981,-5
et_morton_potential__1yr_wy7,Dataset_342,0.496314979,barron,1382,627,2009,0.496314979,-5
et_morton_potential__1yr_wy7,Dataset_337,0.493977292,barron,1382,627,2009,0.493977292,-4
et_morton_potential__1yr_wy7,Dataset_466,0.471251073,barron,1278.3,718.1,1996.4,0.471251073,-5
et_morton_potential__1yr_wy7,Dataset_392.3,0.464957199,barron,587.32,1423.23,2010.55,0.464957199,3
et_morton_potential__1yr_wy7,Dataset_156,0.44678882,barron,542,1457,1999,0.44678882,0
et_morton_potential__1yr_wy7,Dataset_148,0.443728097,barron,215,1781.5,1996.5,0.443728097,-1
et_morton_potential__1yr_wy7,Dataset_149,0.443728097,barron,215,1781.5,1996.5,0.443728097,-1
et_morton_potential__1yr_wy7,Dataset_242,0.419685849,barron,225,1776,2001,0.419685849,-1
et_morton_potential__1yr_wy7,Dataset_269,0.418023165,barron,373,1612,1985,0.418023165,-1
et_morton_potential__1yr_wy7,Dataset_266,0.40425377,barron,347,1646,1993,0.40425377,0
et_morton_potential__1yr_wy7,Dataset_249,0.39757704,barron,234,1762,1996,0.39757704,-1
