year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1612,818.94,584.95,1191.41,-0.3,-1.82,1.12
1613,883.1,616.12,1333.53,0.01,-1.57,1.49
1614,839.67,601.21,1232.77,-0.19,-1.68,1.23
1615,891.59,636.38,1296.94,0.05,-1.41,1.4
1616,853.09,618.49,1214.97,-0.13,-1.55,1.19
1617,892.84,641.29,1280.57,0.05,-1.38,1.36
1618,836.47,603.74,1211.02,-0.21,-1.66,1.17
1619,1018.29,703.1,1530.99,0.56,-0.95,1.93
1620,801.03,575.96,1160.85,-0.39,-1.89,1.03
1621,1167.73,774.34,1823.51,1.05,-0.53,2.43
1622,884.65,620.24,1281.87,0.02,-1.53,1.36
1623,819.11,580.89,1191.43,-0.3,-1.85,1.12
1624,813.13,584.96,1197.6,-0.33,-1.82,1.14
1625,1017.21,694.48,1544.71,0.55,-1.01,1.95
1626,808.06,580.74,1179.19,-0.35,-1.85,1.08
1627,822.02,582.39,1188.49,-0.28,-1.84,1.11
1628,800.34,566,1163.82,-0.39,-1.98,1.04
1629,1172.27,774.81,1855.2,1.06,-0.53,2.48
1630,1027.11,689.81,1622.19,0.59,-1.04,2.1
1631,1189.4,763.61,1917.83,1.11,-0.59,2.57
1632,1168.63,765.25,1851.65,1.05,-0.58,2.47
1633,819.92,592.97,1178.85,-0.29,-1.75,1.08
1634,774.99,553.79,1163.87,-0.53,-2.09,1.04
1635,765.86,534.08,1117.55,-0.58,-2.27,0.9
1636,751.59,522.81,1115.7,-0.66,-2.38,0.89
1637,761.4,530.84,1144.68,-0.6,-2.31,0.98
1638,820.24,576.01,1168.82,-0.29,-1.89,1.05
1639,1025.85,706.81,1529.85,0.59,-0.93,1.92
1640,750.4,534.08,1058.72,-0.67,-2.27,0.7
1641,1165.36,814.44,1734.23,1.04,-0.32,2.29
1642,799.79,582.5,1108.78,-0.4,-1.84,0.87
1643,809.63,595.03,1122.98,-0.34,-1.73,0.91
1644,824.98,589.16,1175.76,-0.27,-1.78,1.07
1645,870.23,631.63,1220.6,-0.05,-1.45,1.2
1646,882.36,634.65,1278.25,0.01,-1.42,1.36
1647,840.15,619.77,1155.9,-0.19,-1.54,1.01
1648,1004.2,719.44,1442.04,0.51,-0.85,1.74
1649,811.26,607.74,1096.74,-0.34,-1.63,0.83
1650,758.79,556.86,1036.49,-0.62,-2.06,0.62
1651,947.25,688.64,1357.11,0.28,-1.05,1.55
1652,799.75,576.45,1091.19,-0.4,-1.89,0.81
1653,811.89,606.76,1126.41,-0.33,-1.64,0.92
1654,919.13,669.87,1272.79,0.17,-1.17,1.34
1655,791.4,576.17,1101.81,-0.44,-1.89,0.84
1656,827.02,614.04,1118.78,-0.26,-1.58,0.9
1657,903.36,665.17,1252.86,0.1,-1.21,1.29
1658,818.56,610.94,1104.14,-0.3,-1.61,0.85
1659,904.56,653.96,1261.37,0.1,-1.28,1.31
1660,817.21,617.96,1099.67,-0.31,-1.55,0.84
1661,858.64,644.17,1150.26,-0.1,-1.35,1
1662,1303.88,940.67,1873.95,1.42,0.26,2.51
1663,1268.21,899.2,1767.3,1.33,0.08,2.34
1664,800.61,603.39,1099.59,-0.39,-1.67,0.84
1665,812.23,596.6,1107.89,-0.33,-1.72,0.86
1666,810.75,607.17,1085.27,-0.34,-1.64,0.79
1667,758.65,573.33,1005.6,-0.62,-1.92,0.51
1668,773.53,583.13,1051.38,-0.54,-1.83,0.68
1669,855.58,619.69,1167.8,-0.12,-1.54,1.05
1670,864.65,637.75,1172.17,-0.08,-1.4,1.06
1671,767.47,577.1,1037.79,-0.57,-1.88,0.63
1672,931,679.26,1284.82,0.22,-1.11,1.37
1673,862.16,635.12,1170.35,-0.09,-1.42,1.06
1674,847.99,631.06,1143.42,-0.15,-1.45,0.98
1675,810.71,578.48,1138.53,-0.34,-1.87,0.96
1676,1186.84,855.61,1668.61,1.11,-0.12,2.18
1677,911.95,667.49,1266.4,0.14,-1.19,1.32
