year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1001,-0.07,-0.41,0.32,-0.27,-1.9,1.66
1002,-0.1,-0.44,0.31,-0.38,-2.06,1.61
1003,-0.09,-0.46,0.3,-0.37,-2.17,1.56
1004,-0.09,-0.46,0.32,-0.36,-2.13,1.62
1005,-0.09,-0.46,0.32,-0.38,-2.14,1.63
1006,-0.09,-0.46,0.34,-0.38,-2.15,1.72
1007,-0.1,-0.47,0.31,-0.39,-2.18,1.57
1008,-0.09,-0.47,0.34,-0.35,-2.2,1.73
1009,-0.09,-0.45,0.31,-0.36,-2.11,1.6
1010,-0.09,-0.45,0.31,-0.33,-2.08,1.58
1011,-0.09,-0.48,0.31,-0.37,-2.24,1.6
1012,-0.1,-0.47,0.32,-0.4,-2.19,1.62
1013,-0.09,-0.45,0.31,-0.36,-2.1,1.6
1014,-0.1,-0.43,0.29,-0.38,-2.03,1.51
1015,-0.1,-0.45,0.32,-0.39,-2.1,1.62
1016,-0.1,-0.45,0.31,-0.38,-2.1,1.61
1017,-0.1,-0.47,0.32,-0.38,-2.19,1.62
1018,-0.09,-0.46,0.3,-0.38,-2.16,1.55
1019,-0.1,-0.44,0.31,-0.41,-2.03,1.61
1020,-0.09,-0.45,0.31,-0.35,-2.09,1.6
1021,-0.1,-0.46,0.31,-0.38,-2.13,1.6
1022,-0.08,-0.44,0.3,-0.31,-2.05,1.56
1023,-0.09,-0.47,0.32,-0.37,-2.17,1.65
1024,-0.09,-0.46,0.32,-0.35,-2.13,1.61
1025,-0.1,-0.45,0.3,-0.38,-2.12,1.56
1026,-0.1,-0.46,0.3,-0.39,-2.15,1.53
1027,-0.09,-0.43,0.33,-0.38,-2.01,1.68
1028,-0.1,-0.44,0.3,-0.39,-2.07,1.52
1029,-0.11,-0.42,0.28,-0.45,-1.95,1.45
1030,-0.11,-0.38,0.25,-0.45,-1.76,1.28
1031,-0.09,-0.38,0.31,-0.34,-1.75,1.57
1032,-0.04,-0.41,0.4,-0.12,-1.91,2
1033,0.01,-0.45,0.48,0.15,-2.08,2.43
1034,0.02,-0.45,0.51,0.2,-2.09,2.57
1035,0.02,-0.26,0.45,0.19,-1.2,2.26
1036,0.12,-0.27,0.48,0.66,-1.21,2.4
1037,0.09,-0.26,0.45,0.51,-1.2,2.26
1038,-0.06,-0.37,0.29,-0.21,-1.7,1.48
1039,-0.1,-0.38,0.28,-0.39,-1.77,1.43
1040,-0.09,-0.39,0.3,-0.36,-1.83,1.53
1041,-0.08,-0.4,0.31,-0.33,-1.87,1.59
1042,-0.1,-0.39,0.28,-0.4,-1.79,1.44
1043,-0.11,-0.39,0.25,-0.47,-1.82,1.3
1044,-0.12,-0.42,0.18,-0.52,-1.95,0.96
1045,-0.13,-0.45,0.2,-0.56,-2.09,1.06
1046,-0.13,-0.4,0.19,-0.53,-1.87,1.01
1047,-0.12,-0.39,0.21,-0.48,-1.83,1.1
1048,-0.14,-0.45,0.23,-0.61,-2.12,1.19
1049,-0.15,-0.48,0.23,-0.66,-2.25,1.18
1050,-0.15,-0.46,0.2,-0.62,-2.14,1.04
1051,-0.13,-0.41,0.19,-0.57,-1.92,1.03
1052,-0.12,-0.41,0.16,-0.52,-1.89,0.83
1053,-0.07,-0.4,0.28,-0.27,-1.86,1.45
